Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,world_cup_year,host_country,match_status,winning_team,best_bowler_1,best_bowler_1_wick,best_bowler_2,best_bowler_2_wick,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs
17,33,2023-11-03, Lucknow,League-Match,NED,AFG,179.0,0.0,181.0,3.0,Afghanistan won by 7 wickets (with 111 balls remaining),Mohammad Nabi,"['SA Engelbrecht - 58 runs ', 'Hashmatullah Shahidi - 56 runs ']","['Mohammad Nabi - 3', 'Noor Ahmad - 2']",2023,India,played,Afghanistan ,Mohammad Nabi,3,Noor Ahmad,2,SA Engelbrecht,58 runs,Hashmatullah Shahidi,56 runs
18,31,2023-11-01, Pune,League-Match,SA,NZ,357.0,4.0,167.0,0.0,South Africa won by 190 runs,Rassie van der Dussen,"['HE van der Dussen - 133 runs ', 'Q de Kock - 114 runs ']","['KA Maharaj - 4', 'M Jansen - 3']",2023,India,played,South Africa ,KA Maharaj,4,M Jansen,3,HE van der Dussen,133 runs,Q de Kock,114 runs
20,47,2023-11-19, Ahmedabad,Final,IND,AUS,240.0,0.0,241.0,4.0,Australia won by 6 wickets (with 42 balls remaining),Travis Head,"['TM Head - 137 runs ', 'KL Rahul - 66 runs ']","['MA Starc - 3', 'PJ Cummins - 2']",2023,India,played,Australia ,MA Starc,3,PJ Cummins,2,TM Head,137 runs,KL Rahul,66 runs
21,16,2023-10-19, Pune,League-Match,BAN,IND,256.0,8.0,261.0,3.0,India won by 7 wickets (with 51 balls remaining),Virat Kohli,"['V Kohli - 103 runs ', 'Litton Das - 66 runs ']","['RA Jadeja - 2', 'JJ Bumrah - 2']",2023,India,played,India ,RA Jadeja,2,JJ Bumrah,2,V Kohli,103 runs,Litton Das,66 runs
22,12,2023-10-15, Delhi,League-Match,AFG,ENG,284.0,0.0,215.0,0.0,Afghanistan won by 69 runs,Mujeeb Ur Rahman,"['Rahmanullah Gurbaz - 80 runs ', 'HC Brook - 66 runs ']","['Rashid Khan - 3', 'AU Rashid - 3']",2023,India,played,Afghanistan ,Rashid Khan,3,AU Rashid,3,Rahmanullah Gurbaz,80 runs,HC Brook,66 runs
24,30,2023-10-31, Eden Gardens,League-Match,BAN,PAK,204.0,0.0,205.0,3.0,Pakistan won by 7 wickets (with 105 balls remaining),Fakhar Zaman,"['Fakhar Zaman - 81 runs ', 'Abdullah Shafique - 68 runs ']","['Shaheen Shah Afridi - 3', 'Mohammad Wasim - 3']",2023,India,played,Pakistan ,Shaheen Shah Afridi,3,Mohammad Wasim,3,Fakhar Zaman,81 runs,Abdullah Shafique,68 runs
25,25,2023-10-27, Chennai,League-Match,PAK,SA,270.0,0.0,271.0,9.0,South Africa won by 1 wicket (with 16 balls remaining),Tabraiz Shamsi,"['AK Markram - 91 runs ', 'Saud Shakeel - 52 runs ']","['T Shamsi - 4', 'Shaheen Shah Afridi - 3']",2023,India,played,South Africa ,T Shamsi,4,Shaheen Shah Afridi,3,AK Markram,91 runs,Saud Shakeel,52 runs
28,9,2023-10-12, Lucknow,League-Match,SA,AUS,311.0,7.0,177.0,0.0,South Africa won by 134 runs,Quinton de Kock,"['Q de Kock - 109 runs ', 'AK Markram - 56 runs ']","['K Rabada - 3', 'KA Maharaj - 2']",2023,India,played,South Africa ,K Rabada,3,KA Maharaj,2,Q de Kock,109 runs,AK Markram,56 runs
30,39,2023-11-08, Pune,League-Match,ENG,NED,339.0,9.0,179.0,0.0,England won by 160 runs,Ben Stokes,"['BA Stokes - 108 runs ', 'DJ Malan - 87 runs ']","['MM Ali - 3', 'AU Rashid - 3']",2023,India,played,England ,MM Ali,3,AU Rashid,3,BA Stokes,108 runs,DJ Malan,87 runs
32,4,2023-10-08, Chennai,League-Match,AUS,IND,199.0,0.0,201.0,4.0,India won by 6 wickets (with 52 balls remaining),KL Rahul,"['KL Rahul - 97 runs ', 'V Kohli - 85 runs ']","['RA Jadeja - 3', 'JR Hazlewood - 3']",2023,India,played,India ,RA Jadeja,3,JR Hazlewood,3,KL Rahul,97 runs,V Kohli,85 runs
33,10,2023-10-13, Chennai,League-Match,BAN,NZ,245.0,9.0,248.0,2.0,New Zealand won by 8 wickets (with 43 balls remaining),Lockie Ferguson,"['DJ Mitchell - 89 runs ', 'KS Williamson - 78 runs ']","['LH Ferguson - 3', 'TA Boult - 2']",2023,India,played,New Zealand ,LH Ferguson,3,TA Boult,2,DJ Mitchell,89 runs,KS Williamson,78 runs
34,28,2023-10-29, Lucknow,League-Match,IND,ENG,229.0,9.0,129.0,0.0,India won by 100 runs,Rohit Sharma,"['RG Sharma - 87 runs ', 'SA Yadav - 49 runs ']","['Mohammed Shami - 4', 'DJ Willey - 3']",2023,India,played,India ,Mohammed Shami,4,DJ Willey,3,RG Sharma,87 runs,SA Yadav,49 runs
36,24,2023-10-26, Bengaluru,League-Match,ENG,SL,156.0,0.0,160.0,2.0,Sri Lanka won by 8 wickets (with 146 balls remaining),Lahiru Kumara,"['P Nissanka - 77 runs ', 'S Samarawickrama - 65 runs ']","['CBRLS Kumara - 3', 'AD Mathews - 2']",2023,India,played,Sri Lanka ,CBRLS Kumara,3,AD Mathews,2,P Nissanka,77 runs,S Samarawickrama,65 runs
38,17,2023-10-20, Bengaluru,League-Match,AUS,PAK,367.0,9.0,305.0,0.0,Australia won by 62 runs,David Warner,"['DA Warner - 163 runs ', 'MR Marsh - 121 runs ']","['Shaheen Shah Afridi - 5', 'A Zampa - 4']",2023,India,played,Australia ,Shaheen Shah Afridi,5,A Zampa,4,DA Warner,163 runs,MR Marsh,121 runs
39,13,2023-10-16, Lucknow,League-Match,SL,AUS,209.0,0.0,215.0,5.0,Australia won by 5 wickets (with 88 balls remaining),Adam Zampa,"['MDKJ Perera - 78 runs ', 'P Nissanka - 61 runs ']","['A Zampa - 4', 'D Madushanka - 3']",2023,India,played,Australia ,A Zampa,4,D Madushanka,3,MDKJ Perera,78 runs,P Nissanka,61 runs
40,21,2023-10-23, Chennai,League-Match,PAK,AFG,282.0,7.0,286.0,2.0,Afghanistan won by 8 wickets (with 6 balls remaining),Ibrahim Zadran,"['Ibrahim Zadran - 87 runs ', 'Rahmat Shah - 77 runs ']","['Noor Ahmad - 3', 'Naveen-ul-Haq - 2']",2023,India,played,Afghanistan ,Noor Ahmad,3,Naveen-ul-Haq,2,Ibrahim Zadran,87 runs,Rahmat Shah,77 runs
42,5,2023-10-09, Hyderabad,League-Match,NZ,NED,322.0,7.0,223.0,0.0,New Zealand won by 99 runs,Mitchell Santner,"['WA Young - 70 runs ', 'CN Ackermann - 69 runs ']","['MJ Santner - 5', 'MJ Henry - 3']",2023,India,played,New Zealand ,MJ Santner,5,MJ Henry,3,WA Young,70 runs,CN Ackermann,69 runs
46,40,2023-11-09, Bengaluru,League-Match,SL,NZ,171.0,0.0,172.0,5.0,New Zealand won by 5 wickets (with 160 balls remaining),Trent Boult,"['MDKJ Perera - 51 runs ', 'DP Conway - 45 runs ']","['TA Boult - 3', 'MJ Santner - 2']",2023,India,played,New Zealand ,TA Boult,3,MJ Santner,2,MDKJ Perera,51 runs,DP Conway,45 runs
47,1,2023-10-06, Hyderabad,League-Match,PAK,NED,286.0,0.0,205.0,0.0,Pakistan won by 81 runs,Saud Shakeel,"['Saud Shakeel - 68 runs ', 'Mohammad Rizwan - 68 runs ']","['BFW de Leede - 4', 'Haris Rauf - 3']",2023,India,played,Pakistan ,BFW de Leede,4,Haris Rauf,3,Saud Shakeel,68 runs,Mohammad Rizwan,68 runs
49,6,2023-10-10, Dharamsala,League-Match,ENG,BAN,364.0,9.0,227.0,0.0,England won by 137 runs,Dawid Malan,"['DJ Malan - 140 runs ', 'JE Root - 82 runs ']","['RJW Topley - 4', 'Mahedi Hasan - 4']",2023,India,played,England ,RJW Topley,4,Mahedi Hasan,4,DJ Malan,140 runs,JE Root,82 runs
